Datum,Salesindex
2015-09-03,94.8
2015-09-04,94.8
2015-09-05,94.8
2015-09-06,94.8
2015-09-07,94.8
2015-09-08,94.8
2015-09-09,94.8
2015-09-10,94.8
2015-09-11,94.8
2015-09-12,94.8
2015-09-13,94.8
2015-09-14,94.8
2015-09-15,94.8
2015-09-16,94.8
2015-09-17,94.8
2015-09-18,94.8
2015-09-19,94.8
2015-09-20,94.8
2015-09-21,94.8
2015-09-22,94.8
2015-09-23,94.8
2015-09-24,94.8
2015-09-25,94.8
2015-09-26,94.8
2015-09-27,94.8
2015-09-28,94.8
2015-09-29,94.8
2015-09-30,94.8
2015-10-01,94.7
2015-10-02,94.7
2015-10-03,94.7
2015-10-04,94.7
2015-10-05,94.7
2015-10-06,94.7
2015-10-07,94.7
2015-10-08,94.7
2015-10-09,94.7
2015-10-10,94.7
2015-10-11,94.7
2015-10-12,94.7
2015-10-13,94.7
2015-10-14,94.7
2015-10-15,94.7
2015-10-16,94.7
2015-10-17,94.7
2015-10-18,94.7
2015-10-19,94.7
2015-10-20,94.7
2015-10-21,94.7
2015-10-22,94.7
2015-10-23,94.7
2015-10-24,94.7
2015-10-25,94.7
2015-10-26,94.7
2015-10-27,94.7
2015-10-28,94.7
2015-10-29,94.7
2015-10-30,94.7
2015-10-31,94.7
2015-11-01,94.7
2015-11-02,94.7
2015-11-03,94.7
2015-11-04,94.7
2015-11-05,94.7
2015-11-06,94.7
2015-11-07,94.7
2015-11-08,94.7
2015-11-09,94.7
2015-11-10,94.7
2015-11-11,94.7
2015-11-12,94.7
2015-11-13,94.7
2015-11-14,94.7
2015-11-15,94.7
2015-11-16,94.7
2015-11-17,94.7
2015-11-18,94.7
2015-11-19,94.7
2015-11-20,94.7
2015-11-21,94.7
2015-11-22,94.7
2015-11-23,94.7
2015-11-24,94.7
2015-11-25,94.7
2015-11-26,94.7
2015-11-27,94.7
2015-11-28,94.7
2015-11-29,94.7
2015-11-30,94.7
2015-12-01,94.7
2015-12-02,94.7
2015-12-03,94.7
2015-12-04,94.7
2015-12-05,94.7
2015-12-06,94.7
2015-12-07,94.7
2015-12-08,94.7
2015-12-09,94.7
2015-12-10,94.7
2015-12-11,94.7
2015-12-12,94.7
2015-12-13,94.7
2015-12-14,94.7
2015-12-15,94.7
2015-12-16,94.7
2015-12-17,94.7
2015-12-18,94.7
2015-12-19,94.7
2015-12-20,94.7
2015-12-21,94.7
2015-12-22,94.7
2015-12-23,94.7
2015-12-24,94.7
2015-12-25,94.7
2015-12-26,94.7
2015-12-27,94.7
2015-12-28,94.7
2015-12-29,94.7
2015-12-30,94.7
2015-12-31,94.7
2016-01-01,94.8
2016-01-02,94.8
2016-01-03,94.8
2016-01-04,94.8
2016-01-05,94.8
2016-01-06,94.8
2016-01-07,94.8
2016-01-08,94.8
2016-01-09,94.8
2016-01-10,94.8
2016-01-11,94.8
2016-01-12,94.8
2016-01-13,94.8
2016-01-14,94.8
2016-01-15,94.8
2016-01-16,94.8
2016-01-17,94.8
2016-01-18,94.8
2016-01-19,94.8
2016-01-20,94.8
2016-01-21,94.8
2016-01-22,94.8
2016-01-23,94.8
2016-01-24,94.8
2016-01-25,94.8
2016-01-26,94.8
2016-01-27,94.8
2016-01-28,94.8
2016-01-29,94.8
2016-01-30,94.8
2016-01-31,94.8
2016-02-01,95.0
2016-02-02,95.0
2016-02-03,95.0
2016-02-04,95.0
2016-02-05,95.0
2016-02-06,95.0
2016-02-07,95.0
2016-02-08,95.0
2016-02-09,95.0
2016-02-10,95.0
2016-02-11,95.0
2016-02-12,95.0
2016-02-13,95.0
2016-02-14,95.0
2016-02-15,95.0
2016-02-16,95.0
2016-02-17,95.0
2016-02-18,95.0
2016-02-19,95.0
2016-02-20,95.0
2016-02-21,95.0
2016-02-22,95.0
2016-02-23,95.0
2016-02-24,95.0
2016-02-25,95.0
2016-02-26,95.0
2016-02-27,95.0
2016-02-28,95.0
2016-02-29,95.0
2016-03-01,95.0
2016-03-02,95.0
2016-03-03,95.0
2016-03-04,95.0
2016-03-05,95.0
2016-03-06,95.0
2016-03-07,95.0
2016-03-08,95.0
2016-03-09,95.0
2016-03-10,95.0
2016-03-11,95.0
2016-03-12,95.0
2016-03-13,95.0
2016-03-14,95.0
2016-03-15,95.0
2016-03-16,95.0
2016-03-17,95.0
2016-03-18,95.0
2016-03-19,95.0
2016-03-20,95.0
2016-03-21,95.0
2016-03-22,95.0
2016-03-23,95.0
2016-03-24,95.0
2016-03-25,95.0
2016-03-26,95.0
2016-03-27,95.0
2016-03-28,95.0
2016-03-29,95.0
2016-03-30,95.0
2016-03-31,95.0
2016-04-01,95.2
2016-04-02,95.2
2016-04-03,95.2
2016-04-04,95.2
2016-04-05,95.2
2016-04-06,95.2
2016-04-07,95.2
2016-04-08,95.2
2016-04-09,95.2
2016-04-10,95.2
2016-04-11,95.2
2016-04-12,95.2
2016-04-13,95.2
2016-04-14,95.2
2016-04-15,95.2
2016-04-16,95.2
2016-04-17,95.2
2016-04-18,95.2
2016-04-19,95.2
2016-04-20,95.2
2016-04-21,95.2
2016-04-22,95.2
2016-04-23,95.2
2016-04-24,95.2
2016-04-25,95.2
2016-04-26,95.2
2016-04-27,95.2
2016-04-28,95.2
2016-04-29,95.2
2016-04-30,95.2
2016-05-01,95.2
2016-05-02,95.2
2016-05-03,95.2
2016-05-04,95.2
2016-05-05,95.2
2016-05-06,95.2
2016-05-07,95.2
2016-05-08,95.2
2016-05-09,95.2
2016-05-10,95.2
2016-05-11,95.2
2016-05-12,95.2
2016-05-13,95.2
2016-05-14,95.2
2016-05-15,95.2
2016-05-16,95.2
2016-05-17,95.2
2016-05-18,95.2
